title,author_name,author_birth_year,author_death_year,translators,subjects,bookshelves,copyright,download_count
"Helping Himself; Or, Grant Thornton's Ambition","Alger, Horatio, Jr.",1832,1899,,"Conduct of life -- Juvenile fiction, Kidnapping -- Juvenile fiction, New York (N.Y.) -- History -- 19th century -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: History - American, Children's Fiction",False,185
A Nonsense Anthology,N/A,N/A,N/A,,Nonsense verses,"Browsing: Children & Young Adult Reading, Browsing: Literature, Children's Verse",False,185
A Child's History of England,"Dickens, Charles",1812,1870,,Great Britain -- History -- Juvenile literature,"Browsing: Children & Young Adult Reading, Browsing: History - British, Browsing: History - General, United Kingdom",True,185
Wilderness ways,"Long, William J. (William Joseph)",1867,1952,,Animal behavior,"Animals-Wild, Browsing: Children & Young Adult Reading, Browsing: Nature/Gardening/Animals, Browsing: Science - General, Children's Instructional Books",False,185
Banbury Chap Books and Nursery Toy Book Literature: [of the XVIII. and Early XIX. Centuries],"Pearson, Edwin",,,,"Chapbooks, English -- Illustrations, Children's literature, English -- Illustrations","Browsing: Art & Photography, Browsing: Children & Young Adult Reading",False,185
The Rover's Secret: A Tale of the Pirate Cays and Lagoons of Cuba,"Collingwood, Harry",1851,1922,,"Great Britain. Royal Navy -- Juvenile fiction, Pirates -- Juvenile fiction, Sailors -- Juvenile fiction, Sea stories","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Pirates, Buccaneers, Corsairs, etc.",False,185
Pixie O'Shaughnessy,"Vaizey, George de Horne, Mrs.",1857,1917,,"Girls -- Juvenile fiction, Ireland -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,185
The Golden Grasshopper: A story of the days of Sir Thomas Gresham,"Kingston, William Henry Giles",1814,1880,,"Biographical fiction, Christian life -- Juvenile fiction, Great Britain -- History -- Elizabeth, 1558-1603 -- Juvenile fiction, Great Britain -- History -- Mary I, 1553-1558 -- Juvenile fiction, Gresham, Thomas, Sir, 1519? 1579 -- Juvenile fiction, Netherlands -- History -- Eighty Years' War, 1568-1648 -- Juvenile fiction, Royal Exchange (London, England) -- Juvenile fiction, Success -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: History - British",False,185
Little Stories for Little Children,Anonymous,,,,"Children -- Conduct of life -- Juvenile fiction, Children's stories","Browsing: Children & Young Adult Reading, Children's Picture Books",False,185
The Land of the Kangaroo: Adventures of Two Youths in a Journey through the Great Island Continent,"Knox, Thomas Wallace",1835,1896,,"Australia -- Juvenile fiction, Voyages and travels -- Juvenile fiction","Australia, Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Travel & Geography",False,185
The Tale of Jimmy Rabbit: Sleepy-TimeTales,"Bailey, Arthur Scott",1877,1949,,"Animals -- Juvenile fiction, Children's stories, Conduct of life -- Juvenile fiction, Picture books for children, Rabbits -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Literature, Children's Book Series",False,185
"Commercial Geography: A Book for High Schools, Commercial Courses, and Business Colleges","Redway, Jacques W. (Jacques Wardlaw)",1849,1942,,Commercial geography,"Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Teaching & Education, Children's Instructional Books",False,185
Nine Little Goslings,"Coolidge, Susan",1835,1905,,"Children -- Conduct of life -- Juvenile fiction, Children's stories, Conduct of life -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,185
"Harper's Young People, June 22, 1880: An Illustrated Weekly",Various,,,,"Children's periodicals, American","Browsing: Children & Young Adult Reading, Browsing: Encyclopedias/Dictionaries/Reference, Harper's Young People",False,185
Real Gold: A Story of Adventure,"Fenn, George Manville",1831,1909,,"Adventure and adventurers -- Juvenile fiction, Conduct of life -- Juvenile fiction, Fathers and sons -- Juvenile fiction, Friendship -- Juvenile fiction, Incas -- Juvenile fiction, Indians of South America -- Juvenile fiction, Quinine -- Juvenile fiction, South America -- Juvenile fiction, Treasure troves -- Juvenile fiction, Voyages and travels -- Juvenile fiction, Youth -- Conduct of life -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,185
"Treasure of Kings: Being the Story of the Discovery of the ""Big Fish,"" or the Quest of the Greater Treasure of the Incas of Peru.","Gilson, Charles",1878,1943,,"Adventure stories, South America -- Juvenile fiction, Treasure troves -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Travel & Geography",False,185
Sweet Content,"Molesworth, Mrs.",1839,1921,,"Children -- Conduct of life -- Juvenile fiction, Children -- Death -- Juvenile fiction, Conduct of life -- Juvenile fiction, Family -- Juvenile fiction, Friendship -- Juvenile fiction, Ship captains -- Juvenile fiction, Siblings -- Juvenile fiction, Uncles -- Juvenile fiction, Weddings -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,185
"Kitty's Picnic, and Other Stories",Anonymous,,,,"Children -- Conduct of life -- Juvenile fiction, Children's stories","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,185
"Blackie & Son's Illustrated Story Books Catalogue, 1889",Blackie & Son,,,,"Blackie & Son -- Catalogs, Children's literature -- Catalogs, Publishers' catalogs -- England -- London","Browsing: Children & Young Adult Reading, Browsing: Encyclopedias/Dictionaries/Reference",False,185
Grampa in Oz,"Thompson, Ruth Plumly",1893,1976,,"Fantasy fiction, Oz (Imaginary place) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Science-Fiction & Fantasy",False,185
"All the World Over: Interesting Stories of Travel, Thrilling Adventure and Home Life","Pratt, Ella Farman",1837,1907,,"Adventure and adventurers -- Juvenile literature, Children's literature, Children's poetry, Children's stories, Families -- Juvenile literature, Voyages and travels -- Juvenile literature","Browsing: Children & Young Adult Reading, Browsing: Literature, Browsing: Travel & Geography",False,185
"Into Mexico with General Scott: When attached to the Fourth United States Infantry, Division of Major-General William J. Worth, Corps of the famous Major-General Winfield Scott, known as Old Fuss and Feathers, campaign of 1847, lad Jerry Cameron marched and fought beside Second Lieutenant U. S. Grant all the way from Cera Cruz to the City of Mexico, where six thousand American soldiers planted the Stars and Stripes in the midst of one hundred and fifty thousand amazed people","Sabin, Edwin L. (Edwin Legrand)",1870,1952,,"Mexican War, 1846-1848 -- Juvenile fiction, Scott, Winfield, 1786-1866 -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: History - Warfare",False,185
Sky Island: Being the further exciting adventures of Trot and Cap'n Bill after their visit to the sea fairies,"Baum, L. Frank (Lyman Frank)",1856,1919,,"Fantasy literature, Flight -- Juvenile fiction, Islands -- Juvenile fiction, Queens -- Juvenile fiction, Voyages, Imaginary","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Science-Fiction & Fantasy, Children's Literature, Fantasy",False,184
Jan of the Windmill: A Story of the Plains,"Ewing, Juliana Horatia",1841,1885,,"Boys -- Juvenile fiction, Country life -- England -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature",False,184
Cornelli,"Spyri, Johanna",1827,1901,,"Family -- Juvenile fiction, Switzerland -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature",False,184
Fairy Tales from the Arabian Nights,"Dixon, E.",,,,"Arabs -- Folklore, Fairy tales -- Arab countries, Tales -- Arab countries","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature, Children's Myths, Fairy Tales, etc.",False,184
"The Seven Vagabonds (From ""Twice Told Tales"")","Hawthorne, Nathaniel",1804,1864,,"Historical fiction, American, New England -- Social life and customs -- Fiction, Short stories","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Children's Literature",False,184
The History of Tom Thumb and Other Stories.,Anonymous,,,,"Children's stories, Fairy tales","Browsing: Children & Young Adult Reading, Browsing: Literature, Children's Picture Books",False,184
Divine Songs,"Watts, Isaac",1674,1748,,"Children's songs -- Texts -- Early works to 1800, Children's songs, English -- Early works to 1800, Hymns, English -- Early works to 1800, Hymns, English -- Texts -- Early works to 1800","Browsing: Children & Young Adult Reading, Browsing: Literature, Browsing: Religion/Spirituality/Paranormal, Christianity",False,184
The Good Shepherd: A Life of Christ for Children,Anonymous,,,,Jesus Christ -- Biography -- Juvenile literature,"Browsing: Biographies, Browsing: Children & Young Adult Reading, Browsing: Religion/Spirituality/Paranormal",False,184
A Child's Book of Saints,"Canton, William",1845,1926,,Christian saints -- Juvenile literature,"Browsing: Children & Young Adult Reading, Browsing: Religion/Spirituality/Paranormal",False,184
"The Grammar School Boys of Gridley; or, Dick & Co. Start Things Moving","Hancock, H. Irving (Harrie Irving)",1868,1922,,Schools -- Fiction,"Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Teaching & Education, Children's Book Series, School Stories",False,184
The Enchanted Castle: A Book of Fairy Tales from Flowerland,N/A,N/A,N/A,,Fairy tales,"Browsing: Children & Young Adult Reading, Browsing: Literature",False,184
The Wouldbegoods,"Nesbit, E. (Edith)",1858,1924,,"Adventure stories, Children -- Juvenile fiction, Country life -- Juvenile fiction, England -- Juvenile fiction, Families -- Juvenile fiction, Siblings -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,184
Wagner : The Story of the Boy Who Wrote Little Plays,"Tapper, Thomas",1864,1958,,"Composers -- Germany -- Biography -- Juvenile literature, Wagner, Richard, 1813-1883 -- Juvenile literature","Browsing: Biographies, Browsing: Children & Young Adult Reading, Browsing: Music, Child's Own Book of Great Musicians",False,184
The Old-Fashioned Fairy Book,"Harrison, Burton, Mrs.",1843,1920,,Fairy tales,"Browsing: Children & Young Adult Reading, Browsing: Literature",False,184
The Staying Guest,"Wells, Carolyn",1862,1942,,"Aunts -- Juvenile fiction, Families -- Juvenile fiction, Girls -- Juvenile fiction, Orphans -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,184
"The hand of Providence : $b as shown in the history of nations and individuals, from the great apostasy to the restoration of the gospel","Ward, J. H. (Joseph Harvey)",,,,"Church history -- Juvenile literature, Great Apostasy (Mormon doctrine), World history -- Juvenile literature","Browsing: Children & Young Adult Reading, Browsing: History - General, Browsing: Religion/Spirituality/Paranormal",False,184
The Wide Awake Third Reader,N/A,N/A,N/A,,Readers,"Browsing: Children & Young Adult Reading, Browsing: Literature, Browsing: Teaching & Education",False,184
"Eyes and No Eyes, and Other Stories","Barbauld, Mrs. (Anna Letitia)",1743,1825,,"Children's stories, English","Browsing: Children & Young Adult Reading, Browsing: Literature",False,184
"Navy boys to the rescue : $b or, Answering the wireless call for help","Davidson, Halsey",,,,"United States. Navy -- Juvenile fiction, World War, 1914-1918 -- Naval operations -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: History - Warfare",False,184
The Indian queen,"Stephens, Ann S. (Ann Sophia)",1810,1886,,"Dime novels, Indian women -- Fiction, Indians of North America -- Fiction, Québec (Province) -- Fiction, Racially mixed children -- Fiction","Browsing: Fiction, Browsing: History - American",False,184
"Hector's Inheritance, Or, the Boys of Smith Institute","Alger, Horatio, Jr.",1832,1899,,"Boarding schools -- Juvenile fiction, Conduct of life -- Juvenile fiction, Fraud -- Juvenile fiction, Identity -- Juvenile fiction, Inheritance and succession -- Juvenile fiction, New York (State) -- History -- 19th century -- Juvenile fiction, Schools -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Fiction",False,183
The Adventures of Poor Mrs. Quack,"Burgess, Thornton W. (Thornton Waldo)",1874,1965,,"Animals -- Juvenile fiction, Ducks -- Juvenile fiction, Hunting -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Children's Book Series, Children's Literature",False,183
"Journeys Through Bookland, Vol. 3","Sylvester, Charles Herbert",,,,"Children's literature, Literature -- Collections","Browsing: Children & Young Adult Reading, Browsing: Literature, Children's Anthologies",False,183
"The Bravest of the Brave — or, with Peterborough in Spain","Henty, G. A. (George Alfred)",1832,1902,,"Historical fiction, Peterborough, Charles Mordaunt, Earl of, 1658-1735 -- Juvenile fiction, Spanish Succession, War of, 1701-1714 -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: History - Warfare, Children's Fiction, Historical Fiction",False,183
Elsie's children,"Finley, Martha",1828,1909,,"Dinsmore, Elsie (Fictitious character) -- Juvenile fiction, Domestic fiction, Families -- Juvenile fiction, Religious fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Religion/Spirituality/Paranormal, Children's Book Series",False,183
Lyra Heroica: A Book of Verse for Boys,N/A,N/A,N/A,,"American poetry, Children's poetry, American, Children's poetry, English, English poetry","Browsing: Children & Young Adult Reading, Browsing: Literature, Browsing: Poetry",False,183
